 m_pricelist_version_id | count 
------------------------+-------
                1000000 |     1
                1000005 |     1
                1000006 |     1
                1000007 |    75
                1000008 |    75
                1000009 |    54
                1000010 |    54
                1000011 |     1
                1000012 |     1
                1000013 |    33
                1000014 |    33
                1000015 |     2
                1000016 |     1
                1000017 |     1
                1000018 |     1
                1000019 |     2
                1000020 |     2
                1000021 |     1
                1000022 |     1
                1000023 |     2
                1000024 |     2
                1000025 |     7
                1000026 |     7
                1000027 |    25
                1000028 |    25
                1000029 |     1
                1000030 |    22
                1000031 |    22
                1000032 |    16
                1000033 |    16
                1000034 |    15
                1000035 |    15
                1000037 |  1443
                1000038 |  1442
                1000039 |    34
                1000040 |    34
                1000041 |    20
                1000042 |     1
                1000043 |     1
                1000044 |     1
                1000047 |    16
                1000048 |    16
                1000050 |     2
                1000051 |     2
                1000052 |     6
                1000053 |     6
                1000054 |    22
                1000055 |    22
                1000056 |    11
                1000057 |    11
                1000058 |     4
                1000059 |     4
                1000060 |     1
                1000061 |     1
                1000062 |     7
                1000063 |     6
                1000064 |    16
                1000065 |    16
                1000066 |     1
                1000067 |     1
                1000068 |     2
                1000069 |     2
                1000070 |     1
                1000071 |     1
                1000072 |     1
                1000073 |     1
                1000074 |     6
                1000075 |     6
                1000076 |     9
                1000077 |     9
                1000078 |     3
                1000079 |     3
                1000080 |     1
                1000081 |     1
                1000082 |     2
                1000083 |     2
                1000084 |     2
                1000085 |     2
                1000086 |     3
                1000087 |     3
                1000088 |     1
                1000089 |     1
                1000090 |    14
                1000091 |    14
                1000092 |     1
                1000093 |     1
                1000094 |    19
                1000095 |    19
                1000096 |    23
                1000097 |    23
                1000098 |     1
                1000099 |     1
                1000100 |     2
                1000101 |     2
                1000102 |     1
                1000103 |     1
                1000104 |     4
                1000105 |     4
                1000106 |    34
                1000107 |    34
                1000108 |    38
                1000109 |    38
                1000110 |     8
                1000111 |     8
                1000112 |    15
                1000113 |    15
                1000114 |     3
                1000115 |     3
                1000116 |     2
                1000117 |     1
                1000118 |     3
                1000119 |     3
                1000120 |     2
                1000121 |     2
                1000122 |     1
                1000123 |     1
                1000124 |    18
                1000125 |    18
                1000126 |     8
                1000127 |     8
                1000128 |     1
                1000129 |     1
